,total_loss,reconstruction_loss,proj_loss,pca_loss,accuracy,auc score,f1 score
216,678.6921997070312,12.453293800354004,266.0679931640625,400.1708984375,0.6979348458406051,0.5528018663194445,0.30766666666666664
217,675.9390869140625,12.451152801513672,264.97930908203125,398.5086669921875,0.6972076788830716,0.5526396639384921,0.306
218,673.1973876953125,12.444828987121582,263.8964538574219,396.8561096191406,0.6986620127981384,0.5546375093005952,0.30933333333333335
219,670.4719848632812,12.439579963684082,262.81927490234375,395.213134765625,0.6982257126236184,0.5541065693204364,0.30833333333333335
220,667.7623291015625,12.434873580932617,261.7478332519531,393.57965087890625,0.7002617801047121,0.5558610801091269,0.313
221,665.0638427734375,12.426183700561523,260.6820373535156,391.9556579589844,0.6986620127981384,0.5538806268601191,0.30933333333333335
222,662.3873901367188,12.424595832824707,259.621826171875,390.3409729003906,0.6988074461896452,0.5539130084325397,0.30966666666666665
223,659.720947265625,12.41824722290039,258.56719970703125,388.73553466796875,0.6990983129726586,0.5557027839781747,0.31033333333333335
224,657.071533203125,12.41406536102295,257.5181579589844,387.1392822265625,0.6993891797556719,0.5550785280257937,0.311
225,654.4324951171875,12.405738830566406,256.474609375,385.5521545410156,0.6992437463641652,0.5555223524305555,0.31066666666666665
226,651.8128662109375,12.40230655670166,255.4365234375,383.9740295410156,0.6993891797556719,0.5556356491815476,0.311
227,649.2056884765625,12.39698600769043,254.40386962890625,382.4048156738281,0.6986620127981384,0.5560191437251983,0.30933333333333335
228,646.6136474609375,12.392472267150879,253.3766326904297,380.84454345703125,0.6988074461896452,0.5571190786210317,0.30966666666666665
229,644.0333251953125,12.385510444641113,252.354736328125,379.2930603027344,0.6992437463641652,0.5575831163194445,0.31066666666666665
230,641.4692993164062,12.380812644958496,251.33819580078125,377.75030517578125,0.6995346131471786,0.557641849578373,0.31133333333333335
231,638.9232177734375,12.380048751831055,250.3269500732422,376.2162170410156,0.6996800465386853,0.5555070064484127,0.31166666666666665
232,636.3873291015625,12.375704765319824,249.32098388671875,374.690673828125,0.7008435136707388,0.5564668278769842,0.31433333333333335
233,633.8623046875,12.368412017822266,248.3202362060547,373.1736755371094,0.6999709133216987,0.5580483010912699,0.31233333333333335
234,631.3494873046875,12.359662055969238,247.3246307373047,371.6651611328125,0.6993891797556719,0.5571677672371032,0.311
235,628.8527221679688,12.353448867797852,246.33425903320312,370.1650085449219,0.7002617801047121,0.5586323939732143,0.313
236,626.373046875,12.3508882522583,245.3489532470703,368.6731872558594,0.7012798138452588,0.558849841889881,0.31533333333333335
237,623.9098510742188,12.35146713256836,244.36880493164062,367.1895751953125,0.6990983129726586,0.557619140625,0.31033333333333335
238,621.4569702148438,12.349034309387207,243.39369201660156,365.7142333984375,0.7002617801047121,0.5593611111111111,0.313
239,619.0064697265625,12.335951805114746,242.423583984375,364.2469482421875,0.6993891797556719,0.558204876612103,0.311
240,616.5816650390625,12.335433959960938,241.45848083496094,362.7877502441406,0.7002617801047121,0.5600008060515873,0.313
241,614.1664428710938,12.331477165222168,240.49839782714844,361.3365478515625,0.7015706806282722,0.5598767671130952,0.316
242,611.7601928710938,12.323751449584961,239.54318237304688,359.8932800292969,0.7024432809773123,0.5609230530753968,0.318
243,609.3746337890625,12.32382583618164,238.5928955078125,358.4579162597656,0.7002617801047121,0.5593995070684523,0.313
244,607.0098266601562,12.331938743591309,237.64747619628906,357.0304260253906,0.6996800465386853,0.5589358878968254,0.31166666666666665
245,604.6455078125,12.328001976013184,236.70687866210938,355.6106262207031,0.7002617801047121,0.5611612413194444,0.313
246,602.2844848632812,12.31486701965332,235.7711181640625,354.1985168457031,0.7009889470622455,0.5584057229662698,0.31466666666666665
247,599.937744140625,12.303546905517578,234.84010314941406,352.7940673828125,0.7018615474112856,0.5599802982390873,0.31666666666666665
248,597.61669921875,12.305556297302246,233.9138641357422,351.39727783203125,0.7011343804537522,0.5612237878224207,0.315
249,595.2958984375,12.295581817626953,232.99229431152344,350.0080261230469,0.7009889470622455,0.5613821459573413,0.31466666666666665
250,592.9951171875,12.293525695800781,232.07540893554688,348.6261901855469,0.6993891797556719,0.5614973338293651,0.311
251,590.6990966796875,12.2841157913208,231.1632080078125,347.2518005371094,0.7015706806282722,0.5622407924107142,0.316
252,588.4266357421875,12.286155700683594,230.2556915283203,345.884765625,0.7020069808027923,0.5626723245287698,0.317
253,586.152587890625,12.274848937988281,229.35267639160156,344.5250549316406,0.7015706806282722,0.5617767237103175,0.316
254,583.9002075195312,12.273279190063477,228.4542694091797,343.1726379394531,0.7034613147178592,0.5627602616567461,0.32033333333333336
255,581.6539916992188,12.26615047454834,227.56040954589844,341.82745361328125,0.701716114019779,0.563075427827381,0.31633333333333336
256,579.4249877929688,12.264609336853027,226.67105102539062,340.4893493652344,0.702152414194299,0.5640689949156745,0.31733333333333336
257,577.206298828125,12.261629104614258,225.7861785888672,339.1584777832031,0.7015706806282722,0.562057369171627,0.316
258,574.999267578125,12.258891105651855,224.90574645996094,337.8345947265625,0.7012798138452588,0.5638789682539682,0.31533333333333335
259,572.79736328125,12.2499361038208,224.02972412109375,336.5177307128906,0.7022978475858057,0.5650304749503968,0.31766666666666665
