,total_loss,feature_reconstruction_loss,structure_reconstruction_loss,proj_loss,pca_loss,accuracy,accuracy_s,accuracy_f,auc score,f1 score
0,31353918.0,57.420753479003906,12391.0927734375,31332598.0,8872.0615234375,0.584009618274722,0.7595431319507063,0.789600240456868,0.4866323703996834,0.135
1,31153430.0,52.881256103515625,11521.9609375,31133016.0,8840.794921875,0.5852119026149685,0.7595431319507063,0.7932070934776074,0.4346131776810447,0.1375
2,30954510.0,49.28870391845703,11051.2392578125,30934600.0,8809.6435546875,0.5870153291253382,0.7601442741208295,0.7962128043282236,0.3928101503759398,0.14125
3,30756970.0,45.966487884521484,10776.1875,30737370.0,8778.58984375,0.5876164712954614,0.7601442741208295,0.7962128043282236,0.3655832014246142,0.1425
4,30560702.0,42.99120330810547,10580.171875,30541330.0,8747.6396484375,0.5858130447850917,0.7601442741208295,0.7962128043282236,0.3514493470518401,0.13875
5,30365650.0,40.63856506347656,10397.380859375,30346496.0,8716.80859375,0.5882176134655847,0.7601442741208295,0.7962128043282236,0.34270478828650575,0.14375
6,30171826.0,38.50321960449219,10221.44921875,30152880.0,8686.1103515625,0.591824466486324,0.7601442741208295,0.7968139464983469,0.33782375346260385,0.15125
7,29979270.0,36.66482925415039,10076.8271484375,29960500.0,8655.568359375,0.5912233243162007,0.7601442741208295,0.7980162308385933,0.3349777404036407,0.15
8,29787966.0,34.926937103271484,9953.7509765625,29769352.0,8625.19140625,0.5900210399759543,0.7601442741208295,0.7980162308385933,0.3337509893153937,0.1475
9,29597912.0,33.4351692199707,9829.2451171875,29579456.0,8594.970703125,0.5924256086564472,0.7601442741208295,0.7980162308385933,0.3305747922437673,0.1525
10,29409136.0,32.009765625,9726.1064453125,29390814.0,8564.900390625,0.5912233243162007,0.7601442741208295,0.7986173730087166,0.32813167787890785,0.15
11,29221636.0,30.791065216064453,9628.7314453125,29203442.0,8534.9609375,0.5906221821460775,0.7595431319507063,0.7992185151788398,0.32523694103680256,0.14875
12,29035408.0,29.441173553466797,9536.41015625,29017336.0,8505.1396484375,0.5888187556357078,0.7595431319507063,0.7992185151788398,0.32189651760981397,0.145
13,28850458.0,28.285709381103516,9440.6953125,28832514.0,8475.4267578125,0.5858130447850917,0.7601442741208295,0.802224226029456,0.31720864661654136,0.13875
14,28666804.0,27.44580841064453,9353.4873046875,28648978.0,8445.80078125,0.5846107604448452,0.7595431319507063,0.8016230838593328,0.3123520973486348,0.13625
15,28484432.0,26.19138526916504,9263.2177734375,28466726.0,8416.2529296875,0.5858130447850917,0.7595431319507063,0.8004207995190863,0.30908290462999605,0.13875
16,28303374.0,25.226215362548828,9196.029296875,28285766.0,8386.7783203125,0.5852119026149685,0.7601442741208295,0.7986173730087166,0.305752374356945,0.1375
17,28123616.0,24.29378890991211,9133.494140625,28106100.0,8357.376953125,0.5876164712954614,0.7601442741208295,0.7986173730087166,0.30383508112386226,0.1425
18,27945144.0,23.223377227783203,9052.798828125,27927740.0,8328.0546875,0.5846107604448452,0.7601442741208295,0.799819657348963,0.3027522754254056,0.13625
19,27767978.0,22.215599060058594,8984.248046875,27750674.0,8298.8154296875,0.5864141869552149,0.7601442741208295,0.8016230838593328,0.3032434705184013,0.14
20,27592114.0,21.399982452392578,8908.044921875,27574914.0,8269.671875,0.5876164712954614,0.7601442741208295,0.799819657348963,0.30297635536208944,0.1425
21,27417552.0,20.61892318725586,8845.556640625,27400446.0,8240.640625,0.5876164712954614,0.7601442741208295,0.799819657348963,0.3027238326078354,0.1425
22,27244306.0,19.69102668762207,8792.3310546875,27227282.0,8211.7353515625,0.5852119026149685,0.7601442741208295,0.8034265103697025,0.3030263157894737,0.1375
23,27072344.0,18.891769409179688,8724.3720703125,27055418.0,8182.9638671875,0.5888187556357078,0.7601442741208295,0.802224226029456,0.3033557578155916,0.145
24,26901694.0,18.201396942138672,8670.6884765625,26884852.0,8154.333984375,0.5888187556357078,0.7601442741208295,0.8028253681995792,0.30491615552037993,0.145
25,26732338.0,17.159626007080078,8615.2431640625,26715580.0,8125.85205078125,0.5888187556357078,0.7601442741208295,0.8040276525398257,0.3045345271072418,0.145
