,total_loss,feature_reconstruction_loss,structure_reconstruction_loss,proj_loss,pca_loss,accuracy,accuracy_s,accuracy_f,auc score,f1 score
0,136284.6875,89.36616516113281,76914.015625,29555.60546875,29725.701171875,0.6599808012933865,0.7977062597888143,0.7979083514373768,0.5759040229008189,0.25222222222222224
1,118787.359375,80.03466796875,59682.58984375,29421.16015625,29603.580078125,0.6886778153892791,0.809326529581165,0.8013439094629414,0.6221939231456658,0.31533333333333335
2,115196.7890625,69.72201538085938,56370.375,29278.83203125,29477.857421875,0.7031273682615066,0.8181175162936392,0.8022533218814732,0.6308198304235053,0.3471111111111111
3,112727.6640625,61.555938720703125,54180.0703125,29134.220703125,29351.822265625,0.6883746779164351,0.8114484918910726,0.8015460011115041,0.617302367822606,0.31466666666666665
4,111453.6953125,55.40071487426758,53185.171875,28987.1796875,29225.943359375,0.6765523164755216,0.802152276057192,0.8029606426514424,0.6014434854000015,0.2886666666666667
5,109602.765625,50.99497985839844,51612.88671875,28838.2265625,29100.66015625,0.6829182034052442,0.8040721467185369,0.8024554135300359,0.6104487601444379,0.30266666666666664
6,107237.7265625,47.19308090209961,49526.69921875,28687.861328125,28975.9765625,0.6949426564947203,0.8135704542009802,0.8028595968271611,0.6280465427174379,0.32911111111111113
7,105497.5,44.12783432006836,48065.203125,28536.32421875,28851.84765625,0.7057545596928207,0.82357399080483,0.8031627343000051,0.6381050807559014,0.35288888888888886
8,104243.484375,41.25126266479492,47089.796875,28384.087890625,28728.3515625,0.7128277673925125,0.8257969989390188,0.8036679634214116,0.6438011944462607,0.36844444444444446
9,103087.90625,39.0294189453125,46211.8203125,28231.5234375,28605.529296875,0.7111099883797302,0.8236750366291113,0.804779467488506,0.6450999585867172,0.36466666666666664
10,102052.34375,37.55167007446289,45452.64453125,28078.763671875,28483.37890625,0.7070681554084778,0.8196332036578589,0.80508260496135,0.6422510880068586,0.3557777777777778
