,total_loss,feature_reconstruction_loss,structure_reconstruction_loss,accuracy,accuracy_s,accuracy_f,auc score,f1 score
0,4139.36474609375,33.125789642333984,4106.23876953125,0.6070901033973413,0.7784342688330872,0.8013293943870015,0.545334440227704,0.11333333333333333
1,3255.9658203125,28.93040657043457,3227.035400390625,0.7023633677991138,0.8183161004431314,0.8050221565731167,0.6140306767868438,0.3283333333333333
2,2890.696533203125,22.859508514404297,2867.8369140625,0.6373707533234859,0.7799113737075333,0.8057607090103397,0.5443651170145477,0.18166666666666664
3,2654.937255859375,19.31869888305664,2635.61865234375,0.6469719350073855,0.7850812407680945,0.8042836041358936,0.5711784471853258,0.20333333333333334
4,2486.144775390625,17.208454132080078,2468.936279296875,0.6233382570162481,0.7806499261447563,0.8042836041358936,0.4905668880455408,0.15
5,2348.927490234375,15.605445861816406,2333.322021484375,0.6078286558345642,0.7791728212703102,0.810192023633678,0.3722454142947502,0.115
6,2232.384521484375,14.438765525817871,2217.94580078125,0.6078286558345642,0.7791728212703102,0.8161004431314623,0.31993674889310564,0.115
7,2126.287841796875,13.623817443847656,2112.6640625,0.6070901033973413,0.7799113737075333,0.8161004431314623,0.30772375079063885,0.11333333333333333
8,2029.52587890625,12.901895523071289,2016.6240234375,0.6063515509601182,0.7799113737075333,0.8153618906942393,0.27969006957621756,0.11166666666666666
9,1934.604736328125,12.241562843322754,1922.3631591796875,0.604135893648449,0.7806499261447563,0.8161004431314623,0.2735444339025933,0.10666666666666669
