,total_loss
0,29.382831573486328
1,28.240798950195312
2,27.44239044189453
3,26.76450538635254
4,26.194320678710938
5,25.69021224975586
6,25.230253219604492
7,24.804967880249023
8,24.43863296508789
9,24.10519027709961
10,23.808170318603516
11,23.5367374420166
12,23.269847869873047
13,23.0053653717041
14,22.759599685668945
15,22.506193161010742
16,22.258560180664062
17,22.00522232055664
18,21.744380950927734
19,21.477998733520508
