,total_loss,accuracy,auc score,f1 score
0,60.12899398803711,0.6916140667267808,0.4771079603689785,0.14500000000000002
1,55.60258865356445,0.6862037871956718,0.471809019473864,0.13000000000000003
2,50.0933952331543,0.6904117823865344,0.477722924496071,0.14166666666666666
3,45.03588104248047,0.6910129245566576,0.49683976768021865,0.1433333333333333
4,41.115692138671875,0.6940186354072738,0.50633583874274,0.15166666666666667
5,37.81708908081055,0.7126540426810941,0.5215536385377519,0.2033333333333333
6,34.64751434326172,0.7180643222122032,0.5324982917663136,0.21833333333333335
7,31.555160522460938,0.725278028253682,0.5276849162965493,0.23833333333333329
8,28.86981773376465,0.7240757439134355,0.5323172189955586,0.235
9,26.42749786376953,0.7222723174030659,0.5306440040997609,0.22999999999999998
10,24.318864822387695,0.7240757439134355,0.539192859583191,0.235
11,22.457197189331055,0.7300871656146679,0.5482593098735907,0.25166666666666665
12,20.83015251159668,0.7246768860835587,0.5562986846600615,0.23666666666666666
13,19.24648094177246,0.7258791704238052,0.5718073112401777,0.23999999999999996
14,17.87308120727539,0.7240757439134355,0.5692227536727024,0.235
15,16.68279266357422,0.722873459573189,0.583056884181756,0.23166666666666663
16,15.612604141235352,0.7318905921250376,0.6016176973009908,0.25666666666666665
17,14.72821044921875,0.7318905921250376,0.6036124871882473,0.25666666666666665
18,13.868857383728027,0.7240757439134355,0.6035655107618723,0.235
19,13.11922550201416,0.7300871656146679,0.6083058592415442,0.25166666666666665
