,total_loss,accuracy,auc score,f1 score
0,21.34144401550293,0.7246031343510676,0.6463028170134251,0.32125
1,21.024900436401367,0.7321093472637825,0.649030182286696,0.33975
2,20.634252548217773,0.7315007354059948,0.6452643713813069,0.33825
3,20.199514389038086,0.7264289699244307,0.638475830311128,0.32575
4,19.730133056640625,0.7228787340873358,0.6309477953807979,0.317
5,19.25728416442871,0.7203428513465537,0.6249339250493097,0.31075
6,18.798095703125,0.7160825683420399,0.6185049786854997,0.30025
7,18.346763610839844,0.7145610386975706,0.6131887049055164,0.2965
8,17.918249130249023,0.7130395090531014,0.6099249459184324,0.29275
9,17.514062881469727,0.7076634376426434,0.607073169179869,0.2795
10,17.123987197875977,0.7068519551655932,0.6040617802379589,0.2775
11,16.75615692138672,0.7079677435715372,0.600912006108036,0.28025
12,16.38302230834961,0.7062433433078055,0.5983136412801425,0.276
13,16.017253875732422,0.7079677435715372,0.5970951517465165,0.28025
14,15.679737091064453,0.7061419079981741,0.5934154498313928,0.27575
15,15.320629119873047,0.7059390373789116,0.5875304447413628,0.27525
16,14.97729778289795,0.7038088958766546,0.5815770582808424,0.27
17,14.626249313354492,0.7047218136633362,0.5812175749188776,0.27225
18,14.296061515808105,0.7032002840188669,0.5832234761722975,0.2685
19,13.95539379119873,0.7016787543743978,0.5818257539606796,0.26475
