,total_loss
0,80.96473693847656
1,75.39277648925781
2,69.48919677734375
3,65.52516174316406
4,61.593929290771484
5,57.313533782958984
6,53.194454193115234
7,49.7431526184082
8,47.20692825317383
9,45.06886672973633
10,43.226318359375
11,41.44761657714844
12,39.777503967285156
13,38.07188034057617
14,36.56351089477539
15,35.29328918457031
16,34.10347366333008
17,32.986324310302734
18,31.926382064819336
19,30.899765014648438
