,total_loss,accuracy,auc score,f1 score
0,81.38760375976562,0.7278132329678721,0.5498100471438192,0.1683333333333333
1,75.33503723144531,0.7271586756122839,0.5869844639686524,0.16633333333333333
2,69.03242492675781,0.7255222822233132,0.6187261372681077,0.16133333333333333
3,64.4458999633789,0.7256313751159112,0.6385476795444804,0.16166666666666665
4,60.0302734375,0.7275950471826761,0.6549041664115595,0.16766666666666666
5,55.70707702636719,0.7333769704903725,0.6643997428518948,0.18533333333333335
6,51.87490463256836,0.7417771232204222,0.6713478081185331,0.211
7,48.924957275390625,0.7491954399170894,0.6791511969632034,0.23366666666666666
8,46.737640380859375,0.753122784050619,0.6843341394722341,0.2456666666666667
9,44.847801208496094,0.7572683139693449,0.6891976366864629,0.25833333333333336
10,43.04900360107422,0.759668357606502,0.6925470519806527,0.26566666666666666
11,41.377201080322266,0.761959308351061,0.6954712392089635,0.27266666666666667
12,39.848907470703125,0.7649048164512082,0.7010278270985122,0.2816666666666666
13,38.515281677246094,0.7669775814105712,0.7067200606134818,0.288
14,37.3734130859375,0.769050346369934,0.7120005969509582,0.29433333333333334
15,36.36742401123047,0.7706867397589047,0.7178066031959836,0.29933333333333334
16,35.48356246948242,0.7722140402552774,0.7234240341639625,0.304
17,34.70460891723633,0.7729776905034637,0.728277857711382,0.30633333333333335
18,33.993263244628906,0.77374134075165,0.7318951968407519,0.3086666666666667
19,33.31571578979492,0.7749413625702285,0.7350265107451173,0.31233333333333335
