,total_loss,accuracy,auc score,f1 score
0,59.66071319580078,0.6663660955816051,0.6486718483088487,0.075
1,54.14518737792969,0.6525398256687707,0.4958344721557909,0.03666666666666667
2,48.485565185546875,0.6513375413285242,0.5580201571574992,0.03333333333333333
3,43.451072692871094,0.6513375413285242,0.6110356166723608,0.03333333333333333
4,39.39542007446289,0.6669672377517283,0.4332358216604031,0.07666666666666666
5,36.30607223510742,0.6573489630297565,0.20583447215579093,0.05
6,33.34565353393555,0.6477306883077848,0.15194140758455754,0.023333333333333334
7,30.59257698059082,0.6489329726480313,0.18678681243594125,0.02666666666666667
8,27.94535255432129,0.6471295461376616,0.24757857874957295,0.021666666666666667
9,25.61423110961914,0.6471295461376616,0.2814272292449607,0.021666666666666667
10,23.46068000793457,0.6435226931169221,0.23925606422958662,0.011666666666666667
11,21.57048988342285,0.6411181244364292,0.24983600956610869,0.005
12,20.020034790039062,0.6453261196272918,0.2813601810727708,0.016666666666666666
13,18.55440902709961,0.6513375413285242,0.26363939186880764,0.03333333333333333
14,17.385604858398438,0.6597535317102494,0.32964938503587293,0.05666666666666668
15,16.306827545166016,0.671175232942591,0.40689528527502566,0.08833333333333335
16,15.34842586517334,0.6735798016230838,0.429958148274684,0.09499999999999999
17,14.471500396728516,0.6777877968139465,0.4174188588998975,0.10666666666666667
18,13.660186767578125,0.6699729486023445,0.40756832934745474,0.08499999999999999
19,13.052014350891113,0.6783889389840697,0.4131089853091903,0.10833333333333334
