,total_loss,accuracy,auc score,f1 score
0,59.727325439453125,0.6170724376314999,0.5749844182825485,0.20375
1,54.264713287353516,0.5954313195070634,0.49713345864661646,0.15875
2,48.458805084228516,0.5942290351668169,0.5366585872576177,0.15625
3,43.397457122802734,0.5954313195070634,0.581113474475663,0.15875
4,39.37248611450195,0.6170724376314999,0.5194722002374357,0.20375
5,36.168678283691406,0.6230838593327321,0.4236995449149189,0.21625
6,33.490989685058594,0.6308987075443342,0.3820130094974278,0.2325
7,30.58310890197754,0.630297565374211,0.3580124653739612,0.23125
8,28.027667999267578,0.6296964232040878,0.37851083300356153,0.23
9,25.504579544067383,0.6296964232040878,0.3955839434111595,0.23
10,23.340274810791016,0.6333032762248272,0.41764518203403245,0.23750000000000002
11,21.61149787902832,0.6375112714156899,0.44007073605065294,0.24625
12,20.072473526000977,0.6333032762248272,0.4442530668777206,0.23750000000000002
13,18.75876235961914,0.6278929966937181,0.4448142560348239,0.22625
14,17.534460067749023,0.6266907123534716,0.4522880391768896,0.22375
15,16.55946922302246,0.6254884280132251,0.44913731697665205,0.22125
16,15.606403350830078,0.6266907123534716,0.4487339236248516,0.22375
17,14.800895690917969,0.6321009918845807,0.45914572615749905,0.235
18,14.018306732177734,0.6399158400961827,0.49131455282944203,0.25125
19,13.33942985534668,0.6429215509467989,0.5144783834586466,0.2575
