,total_loss
0,60.152706146240234
1,55.94444274902344
2,50.643184661865234
3,45.59657287597656
4,41.47856521606445
5,37.82508850097656
6,34.391605377197266
7,31.272268295288086
8,28.5213565826416
9,26.169218063354492
10,24.117938995361328
11,22.33150291442871
12,20.753461837768555
13,19.239791870117188
14,17.902986526489258
15,16.818695068359375
16,15.945246696472168
17,15.151854515075684
18,14.41312313079834
19,13.763529777526855
