,total_loss,feature_reconstruction_loss,structure_reconstruction_loss,proj_loss,pca_loss,accuracy,accuracy_s,accuracy_f,auc score,f1 score
0,116352.890625,75.51314544677734,65604.0859375,5945.95947265625,44727.32421875,0.6192658048328151,0.7833415153002782,0.8093056237386135,0.4754362310751413,0.1275
1,156441.78125,62.37503433227539,97833.9609375,5941.53955078125,52603.9140625,0.6226476845033546,0.7857415589374352,0.8062510227458681,0.3241117613200307,0.13525
2,126595.765625,53.22235870361328,84673.7734375,5937.6484375,35931.12890625,0.611847488136148,0.7839960726558665,0.808432880597829,0.3551868241121887,0.1105
3,102978.484375,43.55033874511719,66865.1171875,5934.16455078125,30135.65625,0.6167566683030601,0.7847597229040528,0.8115965744831725,0.3516950219772553,0.12175
4,89261.625,33.0318603515625,56933.28125,5930.88525390625,26364.42578125,0.6169748540882561,0.7861779305078274,0.819778541428026,0.35128965499197656,0.12225
5,80013.15625,26.901817321777344,50249.58203125,5927.751953125,23808.921875,0.6215567555773741,0.7854142802596411,0.8256695576283205,0.35997742098653457,0.13275
6,67140.640625,22.941007614135742,39743.96875,5924.72509765625,21449.0,0.6194839906180112,0.7859597447226313,0.8305787377952326,0.34758064431730973,0.128
7,60808.34765625,20.935646057128906,34954.140625,5921.71728515625,19911.55078125,0.6201385479735996,0.7870506736486118,0.8334151530027819,0.3359862206097816,0.1295
8,54188.015625,19.457782745361328,29800.77734375,5918.73291015625,18449.048828125,0.623520427644139,0.7872688594338079,0.8362515682103311,0.3385624956394335,0.13725
9,48464.81640625,18.38170623779297,25322.216796875,5915.76904296875,17208.44921875,0.6245022636775214,0.7886870670375825,0.8382152402770959,0.35185263901486086,0.1395
10,44108.17578125,17.754554748535156,22058.59375,5912.810546875,16119.017578125,0.6269023073146784,0.7878143238967982,0.8393061692030764,0.3628559007186214,0.145
11,39905.11328125,17.29450225830078,18846.931640625,5909.8583984375,15131.02734375,0.627993236240659,0.789887088856161,0.840615283914253,0.3602875008721133,0.1475
12,36650.828125,16.93965721130371,16430.775390625,5906.90771484375,14296.205078125,0.630502372770414,0.7911962035673376,0.8418153057328315,0.3577850066280611,0.15325
13,34044.08984375,16.673927307128906,14563.537109375,5903.95654296875,13559.921875,0.6307205585556102,0.7928325969563083,0.8420334915180276,0.3626380729784414,0.15375
14,32059.634765625,16.47999382019043,13236.876953125,5900.998046875,12905.279296875,0.6345388097965418,0.7938144329896907,0.8425789559810178,0.37249796797599943,0.1625
15,30191.2421875,16.34726905822754,11987.453125,5898.03271484375,12289.408203125,0.6354115529373261,0.7932689685267005,0.8427971417662139,0.3776098165073607,0.1645
16,28756.5859375,16.240755081176758,11119.9052734375,5895.05517578125,11725.384765625,0.6344297169039437,0.792068946708122,0.843124420444008,0.3901947080164655,0.16225
17,27566.24609375,16.137348175048828,10452.9716796875,5892.0625,11205.07421875,0.6353024600447281,0.7896689030709649,0.8434516991218022,0.4086405585013605,0.16425
18,26598.99609375,16.0745792388916,9957.4423828125,5889.04931640625,10736.4306640625,0.6329024164075711,0.7887961599301806,0.8439971635847925,0.4359472720295821,0.15875
19,25777.2109375,16.02210807800293,9602.90625,5886.01611328125,10272.265625,0.6285387007036491,0.7877052310042001,0.8444335351551846,0.4458141177701807,0.14875
20,25146.552734375,15.95193099975586,9397.890625,5882.95751953125,9849.751953125,0.6263568428516882,0.7866143020782196,0.8447608138329787,0.4401171073745901,0.14375
21,24608.1796875,15.900285720825195,9231.8427734375,5879.87158203125,9480.5654296875,0.6240658921071293,0.7863961162930235,0.8448699067255768,0.4359567344589409,0.1385
22,24030.80078125,15.859696388244629,9043.177734375,5876.75830078125,9095.005859375,0.6241749849997272,0.7863961162930235,0.8450880925107729,0.4350021453987302,0.13875
23,23468.5234375,15.821653366088867,8835.310546875,5873.6142578125,8743.7763671875,0.6239567992145312,0.7857415589374352,0.845197185403371,0.43546426951789574,0.13825
24,22884.1875,15.790575981140137,8591.0244140625,5870.44091796875,8406.9326171875,0.6241749849997272,0.7857415589374352,0.845197185403371,0.4336746668527175,0.13875
25,22331.96484375,15.754697799682617,8369.1376953125,5867.2373046875,8079.8349609375,0.6246113565701195,0.7858506518300332,0.845197185403371,0.42980939091606785,0.13975
26,21774.72265625,15.717331886291504,8122.3251953125,5864.005859375,7772.673828125,0.6248295423553155,0.7858506518300332,0.8455244640811651,0.42608911253750087,0.14025
27,21241.935546875,15.692296981811523,7877.056640625,5860.74755859375,7488.43994140625,0.6247204494627175,0.7858506518300332,0.8456335569737632,0.4220354775692458,0.14
28,20748.154296875,15.665879249572754,7648.47802734375,5857.46435546875,7226.54541015625,0.6230840560737468,0.7856324660448372,0.8456335569737632,0.4129357601339566,0.13625
29,20281.9609375,15.642635345458984,7436.64794921875,5854.15625,6975.513671875,0.6230840560737468,0.7856324660448372,0.8458517427589592,0.40978258215307334,0.13625
30,19829.83984375,15.628283500671387,7242.3681640625,5850.82568359375,6721.017578125,0.6239567992145312,0.7861779305078274,0.8458517427589592,0.40358868520198143,0.13825
31,19435.896484375,15.606927871704102,7086.3095703125,5847.47265625,6486.50732421875,0.628211422025855,0.7863961162930235,0.8459608356515573,0.38671024035442686,0.148
32,19029.38671875,15.585921287536621,6916.2919921875,5844.09716796875,6253.4111328125,0.6348660884743359,0.7881416025745923,0.8462881143293515,0.37157179236726434,0.16325
33,18639.203125,15.563253402709961,6768.6396484375,5840.69970703125,6014.3017578125,0.6379206894670812,0.7917416680303279,0.8462881143293515,0.3667591223051699,0.17025
34,18279.314453125,15.545211791992188,6630.3466796875,5837.2802734375,5796.14208984375,0.6405389188894344,0.7954508263786614,0.8466153930071456,0.3780027035512454,0.17625
35,17955.244140625,15.524724960327148,6503.19482421875,5833.84033203125,5602.68359375,0.6405389188894344,0.7964326624120438,0.8466153930071456,0.39952942510290934,0.17625
36,17670.564453125,15.504325866699219,6422.9921875,5830.37939453125,5401.68896484375,0.6423934980636011,0.7955599192712595,0.8468335787923417,0.39210167969022536,0.1805
37,17428.32421875,15.489888191223145,6349.27294921875,5826.8974609375,5236.6650390625,0.642066219385807,0.7946871761304751,0.8466153930071456,0.38181766727133193,0.17975000000000002
38,17158.6875,15.474987030029297,6272.71923828125,5823.39404296875,5047.099609375,0.6409752904598266,0.794359897452681,0.8467244858997436,0.3772214906160608,0.17725
