,total_loss,feature_reconstruction_loss,structure_reconstruction_loss,proj_loss,pca_loss,accuracy,accuracy_s,accuracy_f,auc score,f1 score
0,160659.21875,80.46116638183594,117689.96875,23073.921875,19814.875,0.6528664157530137,0.7980690558010146,0.8102874597719959,0.504318051001186,0.2045
1,126398.9375,74.5990982055664,83663.3125,22985.2578125,19675.76171875,0.6447935417007582,0.7916325751377298,0.8096329024164076,0.5116136450847694,0.186
2,117030.8515625,62.482666015625,74537.5703125,22894.990234375,19535.802734375,0.6519936726122293,0.7931598756341024,0.808432880597829,0.5368081437940417,0.2025
3,113406.0,55.990447998046875,71149.9140625,22803.748046875,19396.345703125,0.6602847324496809,0.7959962908416517,0.8076692303496428,0.5561099734877555,0.2215
4,110218.40625,50.89432144165039,68198.3203125,22711.935546875,19257.25390625,0.6679212349315442,0.7988327060492009,0.8097419953090056,0.5699796884811275,0.239
5,106279.390625,46.746700286865234,64494.30859375,22619.66796875,19118.671875,0.679048709976545,0.8028691430753286,0.8122511318387607,0.5835129247191796,0.2645
6,102531.40625,43.553836822509766,60980.32421875,22526.734375,18980.798828125,0.6891943489881635,0.808432880597829,0.8167239404352806,0.5953304088467174,0.28775
7,99855.8359375,41.339935302734375,58537.61328125,22432.892578125,18843.994140625,0.6936671575846833,0.8118147602683685,0.8225058637429772,0.599410695597572,0.298
8,98079.40625,40.03297424316406,56992.6796875,22338.1328125,18708.564453125,0.6966126656848306,0.8135602465499373,0.8266513936617029,0.5992606746668527,0.30475
9,96661.6875,39.177425384521484,55805.32421875,22242.5859375,18574.6015625,0.6983581519663994,0.813014782086947,0.8277423225876834,0.5987316245726645,0.30875
10,95227.5546875,38.49176788330078,54600.58203125,22146.419921875,18442.060546875,0.7015218458517427,0.8137784323351334,0.8269786723394971,0.6003881078629736,0.316
11,93689.203125,38.01644515991211,53290.48828125,22049.771484375,18310.93359375,0.7037037037037037,0.8154148257241041,0.826760486554301,0.6022679742552153,0.321
12,92229.53125,37.545902252197266,52058.0234375,21952.73046875,18181.236328125,0.7056673757704686,0.8173784977908689,0.826760486554301,0.6041318286471778,0.3255
13,90904.1328125,37.05855941772461,50958.734375,21855.353515625,18052.982421875,0.706867397589047,0.8196694485354279,0.8270877652320952,0.6063533367055047,0.32825
14,89693.453125,36.59870529174805,49972.9921875,21757.70703125,17926.15234375,0.7082856051928217,0.8214149348169967,0.8278514154802814,0.6094481790274192,0.3315
15,88530.0,36.06254959106445,49033.37109375,21659.841796875,17800.728515625,0.711231113292969,0.8211967490318006,0.8287241586210659,0.6126926672713319,0.33825
16,87409.5625,35.51382827758789,48135.5234375,21561.814453125,17676.70703125,0.7127584137893416,0.8208694703540065,0.8293787159766541,0.615107941463755,0.34175
17,86333.484375,35.026546478271484,47280.71484375,21463.650390625,17554.09375,0.7146129929635084,0.8198876343206241,0.8299241804396443,0.6165971010953744,0.346
18,85319.21875,34.50514602661133,46486.46484375,21365.37109375,17432.873046875,0.7163584792450772,0.819778541428026,0.8307969235804288,0.617947760413033,0.35
19,84324.71875,33.984046936035156,45710.6953125,21266.990234375,17313.04296875,0.7172312223858616,0.8185785196094475,0.8310151093656248,0.6194372776111073,0.352
20,83403.46875,33.44812774658203,45006.890625,21168.52734375,17194.6015625,0.7176675939562538,0.817596683576065,0.8312332951508209,0.6213274785460128,0.353
21,82505.578125,32.931217193603516,44325.07421875,21070.021484375,17077.552734375,0.7178857797414498,0.8168330333278787,0.8328696885397916,0.6231030663503802,0.3535
22,81643.109375,32.42416763305664,43677.296875,20971.501953125,16961.884765625,0.7188676157748323,0.8165057546500846,0.8335242458953799,0.6239924823833113,0.35575
23,80819.453125,31.90047264099121,43066.95703125,20873.0078125,16847.5859375,0.7191948944526264,0.815305732831506,0.8348333606065564,0.624444437661341,0.3565
24,80011.75,31.41385841369629,42471.13671875,20774.57421875,16734.62890625,0.7189767086674304,0.8145420825833197,0.8352697321769487,0.6256140026512245,0.356
25,79242.2109375,30.845678329467773,41912.13671875,20676.228515625,16622.998046875,0.7199585447008128,0.8138875252277314,0.8352697321769487,0.6272478807646689,0.35825000000000007
26,78483.4140625,30.234161376953125,41362.50390625,20578.00390625,16512.673828125,0.7201767304860088,0.812905689194349,0.8358151966399389,0.6280158026930859,0.35875
27,77731.8671875,29.585693359375,40818.70703125,20479.931640625,16403.640625,0.7217040309823815,0.8123602247313587,0.8373424971363116,0.629558204841973,0.36225
28,77018.3828125,29.0129337310791,40311.4609375,20382.033203125,16295.876953125,0.7219222167675776,0.8114874815905744,0.8377788687067037,0.6302834193818461,0.36275
29,76302.71875,28.425048828125,39800.59375,20284.330078125,16189.37109375,0.7217040309823815,0.8109420171275842,0.8385425189548901,0.6312919312077026,0.36225
30,75617.546875,27.74937629699707,39318.83203125,20186.849609375,16084.1181640625,0.7217040309823815,0.8097419953090056,0.8385425189548901,0.6328002250052327,0.36225
31,74946.859375,27.091787338256836,38850.046875,20089.61328125,15980.1083984375,0.7201767304860088,0.8094147166312115,0.8390879834178804,0.6338855002441917,0.35875
32,74287.609375,26.299560546875,38391.34765625,19992.642578125,15877.31640625,0.7196312660230186,0.8091965308460154,0.8394152620956745,0.6349561850275588,0.3575
33,73639.3828125,26.379837036132812,37941.3203125,19895.9453125,15775.736328125,0.7203949162712049,0.808432880597829,0.8390879834178804,0.6353708312984023,0.35925
34,73003.1171875,25.516101837158203,37502.703125,19799.54296875,15675.35546875,0.7202858233786069,0.8071237658866525,0.8402880052364589,0.6365993337054351,0.359
